1º Atleta, 375 Pontos, 28º Colocado
2º Atleta, 295 Pontos, 37º Colocado
3º Atleta, 186 Pontos, 46º Colocado
4º Atleta, 884 Pontos, 4º Colocado
5º Atleta, 734 Pontos, 11º Colocado
6º Atleta, 172 Pontos, 48º Colocado
7º Atleta, 891 Pontos, 3º Colocado
8º Atleta, 72 Pontos, 58º Colocado
9º Atleta, 135 Pontos, 54º Colocado
10º Atleta, 384 Pontos, 26º Colocado
11º Atleta, 318 Pontos, 33º Colocado
12º Atleta, 381 Pontos, 27º Colocado
13º Atleta, 338 Pontos, 32º Colocado
14º Atleta, 591 Pontos, 16º Colocado
15º Atleta, 85 Pontos, 55º Colocado
16º Atleta, 294 Pontos, 38º Colocado
17º Atleta, 341 Pontos, 31º Colocado
18º Atleta, 81 Pontos, 56º Colocado
19º Atleta, 924 Pontos, 2º Colocado
20º Atleta, 372 Pontos, 29º Colocado
21º Atleta, 301 Pontos, 36º Colocado
22º Atleta, 737 Pontos, 10º Colocado
23º Atleta, 416 Pontos, 24º Colocado
24º Atleta, 185 Pontos, 47º Colocado
25º Atleta, 338 Pontos, 32º Colocado
26º Atleta, 15 Pontos, 61º Colocado
27º Atleta, 625 Pontos, 14º Colocado
28º Atleta, 8 Pontos, 63º Colocado
29º Atleta, 576 Pontos, 17º Colocado
30º Atleta, 11 Pontos, 62º Colocado
31º Atleta, 273 Pontos, 40º Colocado
32º Atleta, 303 Pontos, 35º Colocado
33º Atleta, 306 Pontos, 34º Colocado
34º Atleta, 811 Pontos, 7º Colocado
35º Atleta, 187 Pontos, 45º Colocado
36º Atleta, 393 Pontos, 25º Colocado
37º Atleta, 983 Pontos, 1º Colocado
38º Atleta, 79 Pontos, 57º Colocado
39º Atleta, 465 Pontos, 19º Colocado
40º Atleta, 470 Pontos, 18º Colocado
41º Atleta, 463 Pontos, 20º Colocado
42º Atleta, 136 Pontos, 53º Colocado
43º Atleta, 851 Pontos, 6º Colocado
44º Atleta, 153 Pontos, 51º Colocado
45º Atleta, 727 Pontos, 12º Colocado
46º Atleta, 288 Pontos, 39º Colocado
47º Atleta, 799 Pontos, 8º Colocado
48º Atleta, 69 Pontos, 59º Colocado
49º Atleta, 370 Pontos, 30º Colocado
50º Atleta, 724 Pontos, 13º Colocado
51º Atleta, 441 Pontos, 23º Colocado
52º Atleta, 23 Pontos, 60º Colocado
53º Atleta, 461 Pontos, 21º Colocado
54º Atleta, 210 Pontos, 42º Colocado
55º Atleta, 209 Pontos, 43º Colocado
56º Atleta, 151 Pontos, 52º Colocado
57º Atleta, 225 Pontos, 41º Colocado
58º Atleta, 186 Pontos, 46º Colocado
59º Atleta, 160 Pontos, 49º Colocado
60º Atleta, 154 Pontos, 50º Colocado
61º Atleta, 197 Pontos, 44º Colocado
62º Atleta, 785 Pontos, 9º Colocado
63º Atleta, 457 Pontos, 22º Colocado
64º Atleta, 855 Pontos, 5º Colocado
65º Atleta, 596 Pontos, 15º Colocado
