1º Atleta, 660 Pontos, 14º Colocado
2º Atleta, 255 Pontos, 37º Colocado
3º Atleta, 167 Pontos, 45º Colocado
4º Atleta, 642 Pontos, 16º Colocado
5º Atleta, 320 Pontos, 34º Colocado
6º Atleta, 185 Pontos, 42º Colocado
7º Atleta, 155 Pontos, 46º Colocado
8º Atleta, 676 Pontos, 13º Colocado
9º Atleta, 727 Pontos, 11º Colocado
10º Atleta, 193 Pontos, 41º Colocado
11º Atleta, 75 Pontos, 49º Colocado
12º Atleta, 360 Pontos, 32º Colocado
13º Atleta, 220 Pontos, 39º Colocado
14º Atleta, 75 Pontos, 49º Colocado
15º Atleta, 821 Pontos, 8º Colocado
16º Atleta, 89 Pontos, 48º Colocado
17º Atleta, 749 Pontos, 10º Colocado
18º Atleta, 20 Pontos, 51º Colocado
19º Atleta, 324 Pontos, 33º Colocado
20º Atleta, 859 Pontos, 6º Colocado
21º Atleta, 183 Pontos, 43º Colocado
22º Atleta, 651 Pontos, 15º Colocado
23º Atleta, 17 Pontos, 52º Colocado
24º Atleta, 829 Pontos, 7º Colocado
25º Atleta, 778 Pontos, 9º Colocado
26º Atleta, 306 Pontos, 35º Colocado
27º Atleta, 178 Pontos, 44º Colocado
28º Atleta, 677 Pontos, 12º Colocado
29º Atleta, 558 Pontos, 22º Colocado
30º Atleta, 370 Pontos, 29º Colocado
31º Atleta, 281 Pontos, 36º Colocado
32º Atleta, 571 Pontos, 20º Colocado
33º Atleta, 625 Pontos, 18º Colocado
34º Atleta, 448 Pontos, 26º Colocado
35º Atleta, 213 Pontos, 40º Colocado
36º Atleta, 945 Pontos, 2º Colocado
37º Atleta, 634 Pontos, 17º Colocado
38º Atleta, 369 Pontos, 30º Colocado
39º Atleta, 973 Pontos, 1º Colocado
40º Atleta, 361 Pontos, 31º Colocado
41º Atleta, 562 Pontos, 21º Colocado
42º Atleta, 401 Pontos, 28º Colocado
43º Atleta, 73 Pontos, 50º Colocado
44º Atleta, 134 Pontos, 47º Colocado
45º Atleta, 476 Pontos, 24º Colocado
46º Atleta, 894 Pontos, 5º Colocado
47º Atleta, 575 Pontos, 19º Colocado
48º Atleta, 225 Pontos, 38º Colocado
49º Atleta, 915 Pontos, 3º Colocado
50º Atleta, 899 Pontos, 4º Colocado
51º Atleta, 437 Pontos, 27º Colocado
52º Atleta, 450 Pontos, 25º Colocado
53º Atleta, 551 Pontos, 23º Colocado
